"study_id","first_author","pub_year","country","study_design","single_or_multicenter","enrollment_start_year","enrollment_end_year","follow_up_median_months","primary_for_cohort","cohort_id","total_n","n_arms","comparisons"
47,"Bansal R",2021,"USA","single arm descriptive excluded","single","2018","2020","6.9","","NEW_Bansal_2021",NA,NA,NA
48,"Baranwal",2025,"USA","retrospective cohort","single","2018","2023","33.6","Y","1022",500,2,"C1"
51,"Barkhordar",2022,"Iran","retrospective cohort","single","2008","2020","64.3","partial","1023",118,2,"C1"
49,"Barkhordar M",2021,"Iran","retrospective cohort","single","2010","2019","31.83","Y","1023",248,4,"C1/C2"
50,"Barkhordar M",2022,"Iran","retrospective cohort","single","2008","2020","64.32","partial","1023",118,2,"C1"
52,"Baron F",2024,"multinational","registry","registry","2013","2021","NR","partial","1024",479,2,"C1"
55,"Bashey ZA",2018,"United States","retrospective cohort","single","2005","2015","27","Y","1025",127,3,"C1"
57,"Battipaglia",2019,"multinational","registry","registry","2007","2015","17.5","partial","1024",2043,2,"C1"
60,"Battipaglia G",2019,"multinational","registry","registry","2011","2017","NR","partial","1024",272,2,"C2"
61,"Battipaglia G",2020,"multinational","registry","registry","2008","2018","22","partial","1024",2110,2,"C2"
62,"Battipaglia G",2022,"multinational","retrospective cohort","registry","2011","2019","19 (PTCy) / 15 (ATG+PTCy)","partial","1024",441,2,"C3"
63,"Bazarbachi",2024,"multinational","registry","registry","2007","2021","31.8","partial","1024",3649,3,"C2"
65,"Berger M",2022,"Italy","retrospective cohort","multi","2011","2019","14.9","Y","1026",79,2,"C1"
66,"Berro M",2021,"Argentina","retrospective cohort","single","2012","2019","27.6","Y","1027",56,2,"C2"
67,"Bhatia",2026,"USA","retrospective cohort","single","2010","2023","NR","Y","1028",61,2,"C1"
71,"Blaise D",2016,"France","retrospective cohort","single","2011","2013","23","Y","1029",141,3,"C1"
72,"Bolanos-Meade J",2019,"USA","RCT","multi","2014","2016","NR","Y","1030",497,4,"C1"
2,"Bolanos-Meade J",2023,"United States","RCT","multi","2019","2021","12","Y","1002",431,2,"C1"
75,"Bordat J",2026,"France","retrospective cohort","single","2010","2024","52.4","Y","1006",155,3,"C2"
78,"Brissot",2020,"multinational","registry","registry","2010","2017","NR","partial","1024",1626,2,"C2"
77,"Brissot E",2019,"multinational","registry","registry","2007","2014","NR","partial","1024",1693,3,"C1"
79,"Brissot E",2024,"France","RCT","multi","2017","2019","56","N","1024",81,2,"C2"
80,"Broers AEC",2022,"Netherlands","RCT","multi","2013","2018","56.4","Y","1031",151,2,"none"
83,"Bykova TA",2018,"Russia","retrospective cohort","single","2005","2018","NR","Y","1032",118,2,"none"
86,"Camargo JF",2021,"USA","retrospective cohort","single","2015","2019","7.5","partial","1033",78,3,"C1/C2"
88,"Cao J",2022,"China","retrospective cohort","single","2014","2020","20","Y","1034",80,2,"C1"
89,"Carreira",2022,"Canada","retrospective cohort","single","2015","2019","NR","partial","1013",651,4,"C1"
94,"Chalandon Y",2024,"multinational","registry","registry","2012","2019","52.8","Y","1035",960,2,"none"
97,"Chiurlo M",2025,"Italy","retrospective cohort","single","2015","2022","NR","Y","1036",473,1,"none"
99,"Chiusolo",2026,"multinational","retrospective cohort","multi","2010","2024","NR","Y","1037",539,2,"C2"
100,"Chorao",2024,"Spain","retrospective cohort","single","2017","2022","39","Y","1038",366,3,"C3"
101,"Chorao",2026,"Spain","single arm descriptive excluded","single","2017","2023","45","partial","Chorao_Portuguese_single_center",NA,NA,NA
104,"Cooper DL",2021,"USA","retrospective cohort","single","2014","2018","35.9","Y","1039",90,2,"C1"
105,"Curtis DJ",2025,"Australia/New Zealand","RCT","multi","2019","2024","36.1","Y","1040",134,2,"C1"
107,"Dachy",2023,"France","retrospective cohort","single","2014","2021","NR","Y","1041",94,2,"C2"
108,"Desai N",2024,"Canada","single arm descriptive excluded","single","2020","2023","9.4","N","1013",NA,NA,NA
109,"Desai N",2025,"Canada/USA","retrospective cohort","multi","2015","2023","28.4","Y","1042",861,2,"C2"
110,"Desai N",2025,"Canada","retrospective cohort","single","2010","2023","44.4","Y","1043",97,2,"C1"
111,"Desai N",2025,"Canada","retrospective cohort","single","2010","2023","54","Y","1044",413,4,"C1/C2"
112,"Desai N",2026,"USA","retrospective cohort","registry","2017","2021","NR","partial","1008",1387,3,"C1/C2"
416,"Desai N",2026,"Canada","prospective cohort","single","2021","2024","22.1","partial","1042",173,2,"C3"
118,"Dholaria",2021,"multinational","registry","registry","2010","2019","NR","partial","1024",1182,2,"C1"
119,"Doppelhammer",2019,"Germany","retrospective cohort","multi","2009","2016","35","Y","1045",68,2,"C1"
120,"Dreger",2019,"multinational","retrospective cohort","registry","2008","2015","49","Y","1046",1438,4,"C1/C2"
417,"Dulery R",2021,"France","retrospective cohort","single","2013","2018","36.5","Y","1162",331,2,"none"
418,"Dulery R",2023,"France","retrospective cohort","single","2014","2022","NR","Y","1163",58,2,"C3"
122,"Dybko J",2023,"Poland","retrospective cohort","multi","2015","2019","NR","partial","1047",145,2,"C2"
123,"Dybko J",2023,"Poland","retrospective cohort","multi","2015","2019","NR","partial","1047",162,3,"C1"
124,"Dybko J",2024,"Poland","retrospective cohort","multi","2015","2019","8.5","partial","1047",174,3,"C2"
419,"El Jurdi N",2023,"USA","prospective cohort","single","2005","2022","15.5","Y","1164",469,2,"C1"
133,"Esquirol A",2020,"Spain","retrospective cohort","single","2005","2017","NR","Y","1048",77,2,"C1"
134,"Esquirol A",2021,"Spain","retrospective cohort","multi","2013","2018","37","Y","1049",236,1,"none"
421,"Esquirol A",2024,"Spain","retrospective cohort","single","1999","2020","96","Y","1165",484,3,"C1"
136,"Fox ML",2024,"Spain","retrospective cohort","multi","2012","2020","NR","Y","1050",171,2,"C2"
137,"Fox ML",2026,"Spain","retrospective cohort","multi","2012","2022","47.7","Y","1051",453,3,"C2"
140,"Fuchs EJ",2021,"USA","RCT","multi","2012","2018","24","Y","1052",368,2,"C1"
422,"Gaballa S",2016,"USA","prospective cohort","single","2010","2014","24","Y","1166",106,2,"none"
141,"Galli E",2022,"Italy","retrospective cohort","single","2017","2020","NR","Y","1053",231,2,"C1"
